City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Hobyo,SO,5.3505,48.5268,80.58,78,45,12.48,scattered clouds
271,Iquitos,PE,-3.7481,-73.2472,77.0,88,75,1.14,light rain
272,Adrar,MR,20.5022,-10.0711,84.99,7,100,7.02,overcast clouds
273,Goderich,CA,43.7501,-81.7165,37.4,93,100,12.66,overcast clouds
274,Bom Jesus Da Lapa,BR,-13.255,-43.4181,95.16,18,3,4.38,clear sky
275,High Rock,BS,26.6208,-78.2833,82.4,61,40,12.66,scattered clouds
276,Tres Arroyos,AR,-38.3739,-60.2798,69.33,57,35,8.9,scattered clouds
277,North Myrtle Beach,US,33.816,-78.68,77.0,78,1,21.85,clear sky
278,Cap Malheureux,MU,-19.9842,57.6142,78.01,79,1,2.15,clear sky
279,Taoudenni,ML,22.6783,-3.9836,84.78,5,100,11.65,overcast clouds
280,Shache,CN,38.4167,77.2406,56.48,42,99,13.8,overcast clouds
281,Dimbokro,CI,6.6451,-4.7048,78.13,83,100,4.79,light rain
282,Talnakh,RU,69.4865,88.3972,-12.8,96,60,2.73,broken clouds
283,Aquiraz,BR,-3.9014,-38.3911,86.0,70,20,6.91,few clouds
284,Tank,PK,32.2217,70.3793,78.1,39,0,4.56,clear sky
285,Orocue,CO,4.7912,-71.3354,88.09,47,100,9.51,overcast clouds
286,Menzelinsk,RU,55.7271,53.1026,32.0,43,0,8.95,clear sky
287,Rocha,UY,-34.4833,-54.3333,67.23,88,85,5.5,overcast clouds
288,Itarema,BR,-2.9248,-39.9167,80.38,76,12,6.6,few clouds
289,Sinop,TR,41.7711,34.8709,39.61,77,6,3.24,clear sky
290,Koulamoutou,GA,-1.1303,12.4736,73.17,96,100,2.93,light rain
291,Novomikhaylovskiy,RU,44.2581,38.8578,44.01,84,39,7.61,scattered clouds
292,Lagoa,PT,39.05,-27.9833,59.27,81,100,21.27,overcast clouds
293,Geraldton,AU,-28.7667,114.6,66.2,82,1,3.44,clear sky
294,Vardo,NO,70.3705,31.1107,32.0,80,20,12.66,few clouds
295,Barra Patuca,HN,15.8,-84.2833,81.19,74,4,15.75,clear sky
296,Matagami,CA,49.7502,-77.6328,32.0,100,90,9.22,snow
297,Phalaborwa,ZA,-23.943,31.1411,69.8,68,96,3.44,overcast clouds
298,Namyslow,PL,51.0759,17.7228,45.0,57,98,7.38,overcast clouds
299,Sao Desiderio,BR,-12.3633,-44.9733,92.32,28,48,2.64,scattered clouds
300,Aviles,ES,43.5547,-5.9248,57.0,82,0,5.75,clear sky
301,Alghero,IT,40.5589,8.3181,55.4,76,0,8.05,clear sky
302,Ilo,PE,-17.6394,-71.3375,71.37,78,100,6.93,overcast clouds
303,Kimberley,ZA,-28.7323,24.7623,59.0,77,90,4.61,overcast clouds
