City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Bunia,CD,2021-03-25 01:09:56,1.5667,30.25,67.64,63,100,0.27
269,Ribeira Grande,PT,2021-03-25 01:09:56,38.5167,-28.7,56.97,63,20,3.53
270,Henties Bay,NA,2021-03-25 01:05:28,-22.116,14.2845,62.01,94,22,4.0
271,Kortkeros,RU,2021-03-25 01:09:56,61.8106,51.5806,32.0,80,0,11.18
272,Fernan-Nunez,ES,2021-03-25 01:09:57,37.6884,-4.7247,52.0,81,0,4.61
273,Ouango,CF,2021-03-25 01:09:57,4.3133,22.5552,70.2,95,100,2.04
274,Bar Harbor,US,2021-03-25 01:09:57,44.3876,-68.2039,42.01,76,100,1.99
275,Lincoln,US,2021-03-25 01:07:09,40.8,-96.667,46.99,65,20,8.05
276,Carnarvon,AU,2021-03-25 01:09:58,-24.8667,113.6333,75.2,73,21,17.27
277,Cascais,PT,2021-03-25 01:09:58,38.6979,-9.4215,54.0,76,77,11.99
278,Rognan,NO,2021-03-25 01:09:58,67.0953,15.3878,36.0,90,95,15.37
279,Sorrento,IT,2021-03-25 01:09:58,40.626,14.3744,50.0,81,0,5.75
280,Goure,NE,2021-03-25 01:09:59,13.9835,10.2704,80.01,9,100,11.01
281,Tazovskiy,RU,2021-03-25 01:07:20,67.4667,78.7,-4.47,100,100,6.71
282,Mumford,GH,2021-03-25 01:09:13,5.2618,-0.759,80.46,84,100,14.16
283,Muros,ES,2021-03-25 01:08:36,42.7762,-9.0603,44.01,91,95,5.01
284,Aswan,EG,2021-03-25 01:09:59,24.0934,32.907,62.89,24,1,10.0
285,Uzhur,RU,2021-03-25 01:10:00,55.3036,89.8339,23.45,79,100,10.94
286,Dubovka,RU,2021-03-25 01:10:00,49.0583,44.829,33.8,93,75,20.13
287,Follonica,IT,2021-03-25 01:10:00,42.9263,10.7616,48.0,69,0,6.13
288,Tabas,IR,2021-03-25 01:10:01,33.5959,56.9244,77.02,18,98,13.56
289,Richards Bay,ZA,2021-03-25 01:10:01,-28.783,32.0377,69.64,68,100,3.4
290,Plettenberg Bay,ZA,2021-03-25 01:10:02,-34.0527,23.3716,65.57,89,100,6.96
291,Matam,SN,2021-03-25 01:10:04,15.6175,-13.3303,91.4,18,0,4.61
292,Saint George,US,2021-03-25 01:10:04,37.1041,-113.5841,63.0,12,1,11.5
